Title,Year,Review Title,Review URL,TMDB URL
Spider-Man: Across the Spider-Verse (Part One),2022,Человек-паук: Через вселенные,http://kinoart.ru/reviews/spider-verse,https://www.themoviedb.org/movie/569094
Aquaman and The Lost Kingdom,2022,Аквамен,http://kinoart.ru/reviews/aquaman,https://www.themoviedb.org/movie/572802
Captain Volkonogov Escaped,2022,Капитан Волконогов бежал,http://kinoart.ru/reviews/s-novym-starym-1937-m-kapitan-volkonogov-bezhal,https://www.themoviedb.org/movie/818621
Earwig,2022,Уховертка,http://kinoart.ru/reviews/earwig-2021,https://www.themoviedb.org/movie/657826
No Looking Back,2022,Оторви и выбрось,http://kinoart.ru/reviews/otorvi-i-vybros,https://www.themoviedb.org/movie/591662
The Riot,2022,Подельники,http://kinoart.ru/reviews/obschina-na-krovi-podelniki-evgeniya-grigorieva,https://www.themoviedb.org/movie/713174
After Blue (Dirty Paradise),2022,Грязный Рай,http://kinoart.ru/reviews/after-blue,https://www.themoviedb.org/movie/660715
Яйцо Фаберже,2021,Яйцо,http://kinoart.ru/reviews/berlinale-2019-yaytso,https://www.themoviedb.org/movie/915000
Framed by My Husband,2021,Тайная жизнь,http://kinoart.ru/reviews/taynaya-zhizn-terrensa-malika-prostoy-kak-vse-genialnoe-film-o-zhizni-naedine-s-mirom,https://www.themoviedb.org/movie/849938
The Nose or Conspiracy of Mavericks,2021,"Нос, или заговор «не таких",http://kinoart.ru/reviews/avangarda-smert-stalina-tanets-nos-ili-zagovor-ne-takih-uzhe-odin-iz-luchshih-filmov-goda,https://www.themoviedb.org/movie/659333
Parasitic Words,2021,Паразиты,http://kinoart.ru/reviews/pravo-golodnyh-kak-film-parazity-vyigral-oskar-i-stal-mezhdunarodnym-fenomenom,https://www.themoviedb.org/movie/871076
The Intruder,2021,Чужак,http://kinoart.ru/reviews/shepot-bdsm-chuzhak-golosistyy-argentinskiy-triller-v-mylnoy-pene-berlinale-2020,https://www.themoviedb.org/movie/667757
Weekends,2021,Выходные,http://kinoart.ru/reviews/razvod-seks-trafik-trup-v-bagazhnike-top-5-oscars-dramatichnye-korotkometrazhki-oskara-i-ne-tolko,https://www.themoviedb.org/movie/506593
Framed by My Husband,2021,Тайная жизнь,http://kinoart.ru/reviews/soznatelnyy-otkazchik-ischerpyvayusche-ob-odnom-iz-glavnyh-filmov-terrensa-malika-taynaya-zhizn,https://www.themoviedb.org/movie/849938
They Were Ten,2021,Их было десять,http://kinoart.ru/reviews/serial-ih-bylo-desyat-kak-rezhisser-krovavyh-muchenits-nastradalsya-s-desyatyu-negrityatami,https://www.themoviedb.org/tv/106084
